Kingdom,Phylum,Class,Order,Family,Genus,validName,Note
Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Nitzschia,Nitzschia,
Eukaryota,Chlorophyta_ph,Chlorophyceae,Chlorodendrales,Halosphaeraceae,Pachysphaera,Pachysphaera,add
Eukaryota,Choanoflagellida,Acanthoecida,Acanthoecidae,Acanthoecidae_fa,Parvicorbicula,Parvicorbicula,add
Eukaryota,Dinoflagellata,Dinophyceae,Gonyaulacales,Cladopyxidaceae,Peridiniella,Peridiniella,add
Eukaryota,Prymnesiophyceae,Prymnesiophyceae_cl,Prymnesiophyceae_or,Prymnesiophyceae_fa,Phaeocystis,Phaeocystis_diploid,
Eukaryota,Cryptomonadales,Cryptomonadales_cl,Cryptomonadales_or,Cryptomonadales_fa,Plagioselmis,Plagioselmis,add
Eukaryota,Choanoflagellida,Acanthoecida,Acanthoecidae,Acanthoecidae_fa,Pleurasiga,Pleurasiga,
Eukaryota,Dinoflagellata,Dinophyceae,Prorocentrales,Prorocentraceae,Prorocentrum,Prorocentrum,
Eukaryota,Dinoflagellata,Dinophyceae,Gymnodiniales,Warnowiaceae,Proterythropsis,Proterythropsis,add
Eukaryota,Dinoflagellata,Dinophyceae,Peridiniphycidae,Peridiniales,Protoperidinium,Protoperidinium,
Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Pseudo-nitzschia,Pseudo-nitzschia,
Eukaryota,Ochrophyta,Dictyochophyceae,Pedinellales,Pedinellaceae,Pseudopedinella,Pseudopedinella,add
Eukaryota,Chlorophyta_ph,Prasinophytae,Pyramimonadales,Pyramimonadales_fa,Pterosperma,Pterosperma,
Eukaryota,Chlorophyta_ph,Prasinophytae,Pyramimonadales,Pyramimonadales_fa,Pyramimonas,Pyramimonas,
Eukaryota,Incertae_sedis,Incertae_sedis,Incertae_sedis,Incertae_sedis,Quadricilia,Quadricilia,add
Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Oligotrichia,Strombidium,Strombidium,
Eukaryota,Ochrophyta,Diatomea,Coscinodiscophytina,Fragilariales,Synedropsis,Synedropsis,
Eukaryota,Cryptomonadales,Cryptomonadales_cl,Cryptomonadales_or,Cryptomonadales_fa,Teleaulax,Teleaulax,
Eukaryota,Cryptophyta,Telonemea,Telonemida,Telonemida_fa,Telonema,Telonema,add
Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Mediophyceae,Thalassiosira,Thalassiosira,
Eukaryota,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Torodinium,Torodinium,add
Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Oligotrichia,Uronema,Uronema,add
