class,validName,trait,value,stage,reference,commentaires,
Acanthoecida,Diaphanoeca,motility,1,NA,Tong 1997,NA,
Acanthoecida,Diaphanoeca,nfix,0,NA,NA,NA,
Acanthoecida,Diaphanoeca,Parasitic,0,NA,NA,NA,
Acanthoecida,Diaphanoeca,Symbiosis_bacterienne,NA,NA,NA,NA,
Acanthoecida,Diaphanoeca,Taille.um.,25,NA,Tong 1997,NA,
Acanthoecida,Diaphanoeca,Toxines,0,NA,NA,NA,
Acanthoecida,Diaphanoeca,DMS,0,NA,NA,assumption,
Acanthoecida,Lagenoeca,buoyancy,NA,NA,NA,NA,
Acanthoecida,Lagenoeca,capsule,NA,NA,NA,NA,
Acanthoecida,Lagenoeca,chlb,NA,NA,NA,NA,
Acanthoecida,Lagenoeca,chlc,NA,NA,NA,NA,
Acanthoecida,Lagenoeca,Coloniales,NA,NA,NA,NA,
Acanthoecida,Lagenoeca,DMS,0,NA,NA,assumption,
Acanthoecida,Lagenoeca,feeding_strategy,hetero,NA,Nitsche et al 2007,NA,
Acanthoecida,Lagenoeca,Forme,NA,NA,NA,NA,
Acanthoecida,Lagenoeca,fyco,NA,NA,NA,NA,
Acanthoecida,Lagenoeca,motility,1,NA,Carr et al 2008,NA,
Acanthoecida,Lagenoeca,nfix,NA,NA,NA,NA,
Acanthoecida,Lagenoeca,Parasitic,NA,NA,NA,NA,
Acanthoecida,Lagenoeca,Symbiosis_bacterienne,NA,NA,NA,NA,
Acanthoecida,Lagenoeca,Taille.um.,6,NA,Nitsche et al 2007,NA,
Acanthoecida,Lagenoeca,Toxines,NA,NA,NA,NA,
Acanthoecida,Monosiga,buoyancy,NA,NA,NA,microscopy,
Acanthoecida,Monosiga,capsule,NA,NA,NA,microscopy,
Acanthoecida,Monosiga,chlb,NA,NA,NA,microscopy,
Acanthoecida,Monosiga,chlc,NA,NA,NA,microscopy,
Acanthoecida,Monosiga,Coloniales,NA,NA,NA,microscopy,
Acanthoecida,Monosiga,DMS,0,NA,NA,"microscopy, assumption",
Acanthoecida,Monosiga,feeding_strategy,hetero,NA,Moustaka-Gouni et al 2016,microscopy,
Acanthoecida,Monosiga,Forme,NA,NA,NA,microscopy,
Acanthoecida,Monosiga,fyco,NA,NA,NA,microscopy,
Acanthoecida,Monosiga,motility,1,NA,Fenchel 1982,microscopy,
Acanthoecida,Monosiga,nfix,NA,NA,NA,microscopy,
Acanthoecida,Monosiga,Parasitic,NA,NA,NA,microscopy,
Acanthoecida,Monosiga,Symbiosis_bacterienne,NA,NA,NA,microscopy,
Acanthoecida,Monosiga,Taille.um.,3,NA,Fenchel 1982,microscopy,
Acanthoecida,Monosiga,Toxines,NA,NA,NA,microscopy,
Acanthoecida,Parvicorbicula,buoyancy,NA,NA,NA,microscopy,
Acanthoecida,Parvicorbicula,capsule,NA,NA,NA,microscopy,
Acanthoecida,Parvicorbicula,chlb,NA,NA,NA,microscopy,
Acanthoecida,Parvicorbicula,chlc,NA,NA,NA,microscopy,
Acanthoecida,Parvicorbicula,Coloniales,NA,NA,NA,microscopy,
Acanthoecida,Parvicorbicula,DMS,0,NA,NA,"microscopy, assumption",
Acanthoecida,Parvicorbicula,feeding_strategy,hetero,NA,Tong 1997,microscopy,
Acanthoecida,Parvicorbicula,Forme,NA,NA,NA,microscopy,
Acanthoecida,Parvicorbicula,fyco,NA,NA,NA,microscopy,
Acanthoecida,Parvicorbicula,motility,1,NA,Manton et al 1975,microscopy,
Acanthoecida,Parvicorbicula,nfix,NA,NA,NA,microscopy,
Acanthoecida,Parvicorbicula,Parasitic,NA,NA,NA,microscopy,
Acanthoecida,Parvicorbicula,Symbiosis_bacterienne,NA,NA,NA,microscopy,
Acanthoecida,Parvicorbicula,Taille.um.,6,NA,Manton et al 1975,microscopy,
Acanthoecida,Parvicorbicula,Toxines,NA,NA,NA,microscopy,
Acanthoecida,Pleurasiga,buoyancy,NA,NA,NA,NA,
Acanthoecida,Pleurasiga,capsule,NA,NA,NA,NA,
Acanthoecida,Pleurasiga,chlb,NA,NA,NA,NA,
Acanthoecida,Pleurasiga,chlc,NA,NA,NA,NA,
Acanthoecida,Pleurasiga,Coloniales,NA,NA,NA,NA,
Acanthoecida,Pleurasiga,DMS,0,NA,NA,assumption,
Acanthoecida,Pleurasiga,feeding_strategy,hetero,NA,Booth 1989,NA,
Acanthoecida,Pleurasiga,Forme,NA,NA,NA,NA,
Acanthoecida,Pleurasiga,fyco,NA,NA,NA,NA,
Acanthoecida,Pleurasiga,motility,1,NA,Carr et al 2008,NA,
Acanthoecida,Pleurasiga,nfix,NA,NA,NA,NA,
Acanthoecida,Pleurasiga,Parasitic,NA,NA,NA,NA,
Acanthoecida,Pleurasiga,Symbiosis_bacterienne,NA,NA,NA,NA,
Acanthoecida,Pleurasiga,Taille.um.,12,NA,Manton et al 1975,NA,
Acanthoecida,Pleurasiga,Toxines,NA,NA,NA,NA,
Chlorarachniophyta,Bigelowiella,buoyancy,NA,NA,NA,NA,
Chlorarachniophyta,Bigelowiella,capsule,NA,NA,NA,NA,
Chlorarachniophyta,Bigelowiella,chlb,NA,NA,NA,NA,
Chlorarachniophyta,Bigelowiella,chlc,NA,NA,NA,NA,
Chlorarachniophyta,Bigelowiella,Coloniales,NA,NA,NA,NA,
Chlorarachniophyta,Bigelowiella,feeding_strategy,auto,NA,NA,NA,
Chlorarachniophyta,Bigelowiella,Forme,NA,NA,NA,NA,
Chlorarachniophyta,Bigelowiella,fyco,NA,NA,NA,NA,
Chlorarachniophyta,Bigelowiella,motility,1,NA,NA,NA,
Chlorarachniophyta,Bigelowiella,nfix,0,NA,NA,NA,
Chlorarachniophyta,Bigelowiella,Parasitic,NA,NA,NA,NA,
Chlorarachniophyta,Bigelowiella,Symbiosis_bacterienne,NA,NA,NA,NA,
Chlorarachniophyta,Bigelowiella,Taille.um.,6,NA,Moestrup & Sengco 2001,NA,
Chlorarachniophyta,Bigelowiella,DMS,0,NA,NA,assumption,
Chlorarachniophyta,Bigelowiella,Toxines,0,NA,NA,NA,
Chlorophyceae,Chlamydomonas,buoyancy,0,NA,NA,NA,
Chlorophyceae,Chlamydomonas,capsule,NA,NA,NA,NA,
Chlorophyceae,Chlamydomonas,chlb,1,NA,NA,NA,
Chlorophyceae,Chlamydomonas,chlc,0,NA,NA,NA,
Chlorophyceae,Chlamydomonas,Coloniales,NA,NA,NA,NA,
Chlorophyceae,Chlamydomonas,feeding_strategy,auto,NA,NA,NA,
Chlorophyceae,Chlamydomonas,Forme,sphere,NA,NA,NA,
Chlorophyceae,Chlamydomonas,fyco,0,NA,NA,NA,
Chlorophyceae,Chlamydomonas,motility,1,NA,NA,NA,
Chlorophyceae,Chlamydomonas,nfix,0,NA,NA,NA,
Chlorophyceae,Chlamydomonas,Parasitic,NA,NA,NA,NA,
Chlorophyceae,Chlamydomonas,Symbiosis_bacterienne,1,NA,Ramanan et al 2016,NA,
Chlorophyceae,Chlamydomonas,Taille.um.,6,NA,NA,NA,
Chlorophyceae,Chlamydomonas,DMS,0,NA,Keller et al 1989,NA,
Chlorophyceae,Chlamydomonas,Toxines,0,NA,NA,NA,
Chlorophyceae,Pachysphaera,buoyancy,NA,NA,NA,microscopy,
Chlorophyceae,Pachysphaera,capsule,NA,NA,NA,microscopy,
Chlorophyceae,Pachysphaera,chlb,NA,NA,NA,microscopy,
Chlorophyceae,Pachysphaera,chlc,NA,NA,NA,microscopy,
Chlorophyceae,Pachysphaera,Coloniales,NA,NA,NA,microscopy,
Chlorophyceae,Pachysphaera,DMS,0,NA,NA,"microscopy, assumption",
Chlorophyceae,Pachysphaera,feeding_strategy,auto,NA,Introduction to Marine Micropaleontology Haq & Boersma 1998,microscopy,
Chlorophyceae,Pachysphaera,Forme,NA,NA,NA,microscopy,
Chlorophyceae,Pachysphaera,fyco,NA,NA,NA,microscopy,
Chlorophyceae,Pachysphaera,motility,0,NA,Introduction to Marine Micropaleontology Haq & Boersma 1998,microscopy,
Chlorophyceae,Pachysphaera,nfix,NA,NA,NA,microscopy,
Chlorophyceae,Pachysphaera,Parasitic,NA,NA,NA,microscopy,
Chlorophyceae,Pachysphaera,Symbiosis_bacterienne,NA,NA,NA,microscopy,
Chlorophyceae,Pachysphaera,Taille.um.,100,NA,Introduction to Marine Micropaleontology Haq & Boersma 1998,microscopy,
Chlorophyceae,Pachysphaera,Toxines,NA,NA,NA,microscopy,
Chrysophyceae,Dinobryon,buoyancy,NA,NA,NA,microscopy,
Chrysophyceae,Dinobryon,capsule,NA,NA,NA,microscopy,
Chrysophyceae,Dinobryon,chlb,NA,NA,NA,microscopy,
Chrysophyceae,Dinobryon,chlc,NA,NA,NA,microscopy,
Chrysophyceae,Dinobryon,Coloniales,NA,NA,NA,microscopy,
Chrysophyceae,Dinobryon,DMS,0,NA,NA,"microscopy, assumption",
Chrysophyceae,Dinobryon,feeding_strategy,mixo,NA,Bird & Kalff 1987,microscopy,
Chrysophyceae,Dinobryon,Forme,NA,NA,NA,microscopy,
Chrysophyceae,Dinobryon,fyco,NA,NA,NA,microscopy,
Chrysophyceae,Dinobryon,motility,1,NA,NA,"microscopy, assumption",
Chrysophyceae,Dinobryon,nfix,NA,NA,NA,microscopy,
Chrysophyceae,Dinobryon,Parasitic,NA,NA,NA,microscopy,
Chrysophyceae,Dinobryon,Symbiosis_bacterienne,NA,NA,NA,microscopy,
Chrysophyceae,Dinobryon,Taille.um.,45,NA,Ahlstrom 1937,microscopy,
Chrysophyceae,Dinobryon,Toxines,NA,NA,NA,microscopy,
Chrysophyceae,Paraphysomonas,buoyancy,0,NA,NA,NA,
Chrysophyceae,Paraphysomonas,capsule,silica,NA,NA,NA,
Chrysophyceae,Paraphysomonas,chlb,0,NA,NA,NA,
Chrysophyceae,Paraphysomonas,chlc,0,NA,NA,NA,
Chrysophyceae,Paraphysomonas,Coloniales,NA,NA,NA,NA,
Chrysophyceae,Paraphysomonas,feeding_strategy,hetero,NA,NA,NA,
Chrysophyceae,Paraphysomonas,Forme,sphere,NA,NA,NA,
Chrysophyceae,Paraphysomonas,fyco,0,NA,NA,NA,
Chrysophyceae,Paraphysomonas,motility,1,NA,NA,NA,
Chrysophyceae,Paraphysomonas,nfix,0,NA,NA,NA,
Chrysophyceae,Paraphysomonas,Parasitic,NA,NA,NA,NA,
Chrysophyceae,Paraphysomonas,Symbiosis_bacterienne,NA,NA,NA,NA,
Chrysophyceae,Paraphysomonas,Taille.um.,5,NA,NA,NA,
Chrysophyceae,Paraphysomonas,Toxines,0,NA,NA,NA,
Chrysophyceae,Paraphysomonas,DMS,0,NA,NA,assumption,
Coccolithales,Coccolithus,buoyancy,NA,NA,NA,NA,
Coccolithales,Coccolithus,capsule,calcifiers,NA,NA,NA,
Coccolithales,Coccolithus,chlb,NA,NA,NA,NA,
Coccolithales,Coccolithus,chlc,NA,NA,NA,NA,
Coccolithales,Coccolithus,Coloniales,NA,NA,NA,NA,
Coccolithales,Coccolithus,feeding_strategy,mixo,NA,Jordan & Chamberlain 1997,NA,
Coccolithales,Coccolithus,Forme,sphere,NA,NA,NA,
Coccolithales,Coccolithus,fyco,NA,NA,NA,NA,
Coccolithales,Coccolithus,motility,0,NA,NA,NA,
Coccolithales,Coccolithus,nfix,0,NA,NA,NA,
Coccolithales,Coccolithus,Parasitic,NA,NA,NA,NA,
Coccolithales,Coccolithus,Symbiosis_bacterienne,NA,NA,NA,NA,
Coccolithales,Coccolithus,Taille.um.,6,NA,NA,NA,
Coccolithales,Coccolithus,Toxines,0,NA,NA,NA,
Coccolithales,Coccolithus,DMS,1,NA,Keller et al 1989,NA,
Craspedida,Bicosta,buoyancy,NA,NA,NA,NA,
Craspedida,Bicosta,capsule,NA,NA,NA,NA,
Craspedida,Bicosta,chlb,NA,NA,NA,NA,
Craspedida,Bicosta,chlc,NA,NA,NA,NA,
Craspedida,Bicosta,Coloniales,NA,NA,NA,NA,
Craspedida,Bicosta,DMS,0,NA,NA,assumption,
Craspedida,Bicosta,feeding_strategy,hetero,NA,Thomsen & Larsen 1991,NA,
Craspedida,Bicosta,Forme,NA,NA,NA,NA,
Craspedida,Bicosta,fyco,NA,NA,NA,NA,
Craspedida,Bicosta,motility,1,NA,Leadbeater et al 2008,NA,
Craspedida,Bicosta,nfix,NA,NA,NA,NA,
Craspedida,Bicosta,Parasitic,NA,NA,NA,NA,
Craspedida,Bicosta,Symbiosis_bacterienne,NA,NA,NA,NA,
Craspedida,Bicosta,Taille.um.,25,NA,Buck 1980,NA,
Craspedida,Bicosta,Toxines,NA,NA,NA,NA,
Cryptomonadales_cl,Cryptochrysis-Chroomonas,buoyancy,NA,NA,NA,microscopy,
Cryptomonadales_cl,Cryptochrysis-Chroomonas,capsule,NA,NA,NA,microscopy,
Cryptomonadales_cl,Cryptochrysis-Chroomonas,chlb,NA,NA,NA,microscopy,
Cryptomonadales_cl,Cryptochrysis-Chroomonas,chlc,NA,NA,NA,microscopy,
Cryptomonadales_cl,Cryptochrysis-Chroomonas,Coloniales,NA,NA,NA,microscopy,
Cryptomonadales_cl,Cryptochrysis-Chroomonas,DMS,0,NA,NA,"microscopy, assumption in Keller et al 1989", 
Cryptomonadales_cl,Cryptochrysis-Chroomonas,feeding_strategy,mixo,NA,NA,"microscopy, assumption",
Cryptomonadales_cl,Cryptochrysis-Chroomonas,Forme,NA,NA,NA,microscopy,
Cryptomonadales_cl,Cryptochrysis-Chroomonas,fyco,NA,NA,NA,microscopy,
Cryptomonadales_cl,Cryptochrysis-Chroomonas,motility,1,NA,Meyer & Pienaar 1984,microscopy,
Cryptomonadales_cl,Cryptochrysis-Chroomonas,nfix,NA,NA,NA,microscopy,
Cryptomonadales_cl,Cryptochrysis-Chroomonas,Parasitic,NA,NA,NA,microscopy,
Cryptomonadales_cl,Cryptochrysis-Chroomonas,Symbiosis_bacterienne,NA,NA,NA,microscopy,
Cryptomonadales_cl,Cryptochrysis-Chroomonas,Taille.um.,6,NA,Meyer & Pienaar 1984,microscopy,
Cryptomonadales_cl,Cryptochrysis-Chroomonas,Toxines,NA,NA,NA,microscopy,
Cryptomonadales_cl,Geminigera,buoyancy,NA,NA,NA,NA,
Cryptomonadales_cl,Geminigera,capsule,NA,NA,NA,NA,
Cryptomonadales_cl,Geminigera,chlb,NA,NA,NA,NA,
Cryptomonadales_cl,Geminigera,chlc,NA,NA,NA,NA,
Cryptomonadales_cl,Geminigera,Coloniales,NA,NA,NA,NA,
Cryptomonadales_cl,Geminigera,feeding_strategy,mixo,NA,NA,NA,
Cryptomonadales_cl,Geminigera,Forme,flattened ellipsoid,NA,NA,NA,
Cryptomonadales_cl,Geminigera,fyco,NA,NA,NA,NA,
Cryptomonadales_cl,Geminigera,motility,1,NA,NA,NA,
Cryptomonadales_cl,Geminigera,nfix,0,NA,NA,NA,
Cryptomonadales_cl,Geminigera,Parasitic,NA,NA,NA,NA,
Cryptomonadales_cl,Geminigera,Symbiosis_bacterienne,NA,NA,NA,NA,
Cryptomonadales_cl,Geminigera,Taille.um.,16,NA,NA,NA,
Cryptomonadales_cl,Geminigera,Toxines,0,NA,NA,NA,
Cryptomonadales_cl,Geminigera,DMS,0,NA,NA,assumption in Keller et al 1989,
Cryptomonadales_cl,Hemiselmis,buoyancy,NA,NA,NA,microscopy,
Cryptomonadales_cl,Hemiselmis,capsule,NA,NA,NA,microscopy,
Cryptomonadales_cl,Hemiselmis,chlb,NA,NA,NA,microscopy,
Cryptomonadales_cl,Hemiselmis,chlc,NA,NA,NA,microscopy,
Cryptomonadales_cl,Hemiselmis,Coloniales,NA,NA,NA,microscopy,
Cryptomonadales_cl,Hemiselmis,DMS,0,NA,NA,"microscopy, assumption in Keller et al 1989",
Cryptomonadales_cl,Hemiselmis,feeding_strategy,auto,NA,Lane &Archibald 2008,microscopy,
Cryptomonadales_cl,Hemiselmis,Forme,NA,NA,NA,microscopy,
Cryptomonadales_cl,Hemiselmis,fyco,NA,NA,NA,microscopy,
Cryptomonadales_cl,Hemiselmis,motility,1,NA,NA,"microscopy, assumption",
Cryptomonadales_cl,Hemiselmis,nfix,NA,NA,NA,microscopy,
Cryptomonadales_cl,Hemiselmis,Parasitic,NA,NA,NA,microscopy,
Cryptomonadales_cl,Hemiselmis,Symbiosis_bacterienne,NA,NA,NA,microscopy,
Cryptomonadales_cl,Hemiselmis,Taille.um.,7,NA,Lane &Archibald 2008,microscopy,
Cryptomonadales_cl,Hemiselmis,Toxines,NA,NA,NA,microscopy,
Cryptomonadales_cl,Plagioselmis,buoyancy,NA,NA,NA,microscopy,
Cryptomonadales_cl,Plagioselmis,capsule,NA,NA,NA,microscopy,
Cryptomonadales_cl,Plagioselmis,chlb,NA,NA,NA,microscopy,
Cryptomonadales_cl,Plagioselmis,chlc,NA,NA,NA,microscopy,
Cryptomonadales_cl,Plagioselmis,Coloniales,NA,NA,NA,microscopy,
Cryptomonadales_cl,Plagioselmis,DMS,0,NA,NA,"microscopy, assumption in Keller et al 1989",
Cryptomonadales_cl,Plagioselmis,feeding_strategy,auto,NA,Supraha et al 2014,microscopy,
Cryptomonadales_cl,Plagioselmis,Forme,NA,NA,NA,microscopy,
Cryptomonadales_cl,Plagioselmis,fyco,NA,NA,NA,microscopy,
Cryptomonadales_cl,Plagioselmis,motility,1,NA,Supraha et al 2014,microscopy,
Cryptomonadales_cl,Plagioselmis,nfix,NA,NA,NA,microscopy,
Cryptomonadales_cl,Plagioselmis,Parasitic,NA,NA,NA,microscopy,
Cryptomonadales_cl,Plagioselmis,Symbiosis_bacterienne,NA,NA,NA,microscopy,
Cryptomonadales_cl,Plagioselmis,Taille.um.,10,NA,Supraha et al 2014,microscopy,
Cryptomonadales_cl,Plagioselmis,Toxines,NA,NA,NA,microscopy,
Cryptomonadales_cl,Rhodomonas,buoyancy,0,NA,NA,NA,
Cryptomonadales_cl,Rhodomonas,capsule,NA,NA,NA,NA,
Cryptomonadales_cl,Rhodomonas,chlb,0,NA,NA,NA,
Cryptomonadales_cl,Rhodomonas,chlc,1,NA,NA,NA,
Cryptomonadales_cl,Rhodomonas,Coloniales,NA,NA,NA,NA,
Cryptomonadales_cl,Rhodomonas,feeding_strategy,auto,NA,NA,NA,
Cryptomonadales_cl,Rhodomonas,Forme,Cone + half sphere,NA,NA,NA,
Cryptomonadales_cl,Rhodomonas,fyco,1,NA,NA,NA,
Cryptomonadales_cl,Rhodomonas,motility,1,NA,NA,NA,
Cryptomonadales_cl,Rhodomonas,nfix,0,NA,NA,NA,
Cryptomonadales_cl,Rhodomonas,Parasitic,NA,NA,NA,NA,
Cryptomonadales_cl,Rhodomonas,Symbiosis_bacterienne,NA,NA,NA,NA,
Cryptomonadales_cl,Rhodomonas,Taille.um.,13,NA,NA,NA,
Cryptomonadales_cl,Rhodomonas,Toxines,0,NA,NA,NA,
Cryptomonadales_cl,Rhodomonas,DMS,0,NA,Keller et al 1989,NA,
Cryptomonadales_cl,Teleaulax,buoyancy,0,NA,NA,NA,
Cryptomonadales_cl,Teleaulax,capsule,NA,NA,NA,NA,
Cryptomonadales_cl,Teleaulax,chlb,0,NA,NA,NA,
Cryptomonadales_cl,Teleaulax,chlc,1,NA,NA,NA,
Cryptomonadales_cl,Teleaulax,Coloniales,NA,NA,NA,NA,
Cryptomonadales_cl,Teleaulax,DMS,1,NA,Lee 2012,NA,
Cryptomonadales_cl,Teleaulax,feeding_strategy,auto,NA,NA,NA,
Cryptomonadales_cl,Teleaulax,Forme,Cone + half sphere,NA,NA,NA,
Cryptomonadales_cl,Teleaulax,fyco,1,NA,NA,NA,
Cryptomonadales_cl,Teleaulax,motility,1,NA,NA,NA,
Cryptomonadales_cl,Teleaulax,nfix,0,NA,NA,NA,
Cryptomonadales_cl,Teleaulax,Parasitic,NA,NA,NA,NA,
Cryptomonadales_cl,Teleaulax,Symbiosis_bacterienne,NA,NA,NA,NA,
Cryptomonadales_cl,Teleaulax,Taille.um.,6,NA,NA,NA,
Cryptomonadales_cl,Teleaulax,Toxines,0,NA,NA,NA,
Cryptophyceae_cl,Goniomonas,buoyancy,NA,NA,NA,NA,
Cryptophyceae_cl,Goniomonas,capsule,NA,NA,NA,NA,
Cryptophyceae_cl,Goniomonas,chlb,0,NA,NA,NA,
Cryptophyceae_cl,Goniomonas,chlc,0,NA,NA,NA,
Cryptophyceae_cl,Goniomonas,Coloniales,NA,NA,NA,NA,
Cryptophyceae_cl,Goniomonas,feeding_strategy,hetero,NA,NA,NA,
Cryptophyceae_cl,Goniomonas,Forme,sphere,NA,NA,NA,
Cryptophyceae_cl,Goniomonas,fyco,0,NA,NA,NA,
Cryptophyceae_cl,Goniomonas,motility,1,NA,NA,NA,
Cryptophyceae_cl,Goniomonas,nfix,0,NA,NA,NA,
Cryptophyceae_cl,Goniomonas,Parasitic,0,NA,NA,NA,
Cryptophyceae_cl,Goniomonas,Symbiosis_bacterienne,NA,NA,NA,NA,
Cryptophyceae_cl,Goniomonas,Taille.um.,10,NA,NA,NA,
Cryptophyceae_cl,Goniomonas,Toxines,0,NA,NA,NA,
Cryptophyceae_cl,Goniomonas,DMS,0,NA,NA,assumption in Keller et al 1989,
Diatomea,Actinocyclus,buoyancy,0,NA,NA,NA,
Diatomea,Actinocyclus,capsule,silica,NA,NA,NA,
Diatomea,Actinocyclus,chlb,0,NA,NA,NA,
Diatomea,Actinocyclus,chlc,1,NA,NA,NA,
Diatomea,Actinocyclus,Coloniales,NA,NA,NA,NA,
Diatomea,Actinocyclus,feeding_strategy,auto,NA,NA,NA,
Diatomea,Actinocyclus,Forme,cylinder,NA,NA,NA,
Diatomea,Actinocyclus,fyco,0,NA,NA,NA,
Diatomea,Actinocyclus,motility,0,NA,NA,NA,
Diatomea,Actinocyclus,nfix,0,NA,NA,NA,
Diatomea,Actinocyclus,Parasitic,0,NA,NA,NA,
Diatomea,Actinocyclus,Symbiosis_bacterienne,NA,NA,NA,NA,
Diatomea,Actinocyclus,Taille.um.,35,NA,NA,NA,
Diatomea,Actinocyclus,DMS,0,NA,NA,assumption in Keller et al 1989,
Diatomea,Actinocyclus,Toxines,0,NA,NA,NA,
Diatomea,Arcocellulus,buoyancy,NA,NA,NA,microscopy,
Diatomea,Arcocellulus,capsule,NA,NA,NA,microscopy,
Diatomea,Arcocellulus,chlb,NA,NA,NA,microscopy,
Diatomea,Arcocellulus,chlc,NA,NA,NA,microscopy,
Diatomea,Arcocellulus,Coloniales,NA,NA,NA,microscopy,
Diatomea,Arcocellulus,DMS,0,NA,NA,"microscopy, assumption in Keller et al 1989",
Diatomea,Arcocellulus,feeding_strategy,auto,NA,NA,"microscopy, assumption",
Diatomea,Arcocellulus,Forme,NA,NA,NA,microscopy,
Diatomea,Arcocellulus,fyco,NA,NA,NA,microscopy,
Diatomea,Arcocellulus,motility,0,NA,NA,"microscopy, assumption",
Diatomea,Arcocellulus,nfix,NA,NA,NA,microscopy,
Diatomea,Arcocellulus,Parasitic,NA,NA,NA,microscopy,
Diatomea,Arcocellulus,Symbiosis_bacterienne,NA,NA,NA,microscopy,
Diatomea,Arcocellulus,Taille.um.,5,NA,Sugie & Suzuki 2015,microscopy,
Diatomea,Arcocellulus,Toxines,NA,NA,NA,microscopy,
Diatomea,Attheya,buoyancy,0,NA,NA,NA,
Diatomea,Attheya,capsule,silica,NA,NA,NA,
Diatomea,Attheya,chlb,0,NA,NA,NA,
Diatomea,Attheya,chlc,1,NA,NA,NA,
Diatomea,Attheya,Coloniales,NA,NA,NA,NA,
Diatomea,Attheya,feeding_strategy,auto,NA,NA,NA,
Diatomea,Attheya,Forme,oval centric,NA,NA,NA,
Diatomea,Attheya,fyco,0,NA,NA,NA,
Diatomea,Attheya,motility,0,NA,NA,NA,
Diatomea,Attheya,nfix,0,NA,NA,NA,
Diatomea,Attheya,Parasitic,NA,NA,NA,NA,
Diatomea,Attheya,Symbiosis_bacterienne,NA,NA,NA,NA,
Diatomea,Attheya,Taille.um.,20,NA,NA,NA,
Diatomea,Attheya,DMS,0,NA,NA,assumption in Keller et al 1989,
