Id,Sample,Year,Depth,Fraction,Station,chla-Peak-1,chla-Peak-4,DOY-debut,DOY-peak4,Volume,DOY,DOY-peak1,DSP-4,DSP-1,DSB-4,,,,
400804,400804R102,2014,2,small,5,0.85,2.260824919,157,164,2840,133,172,-31,-39,-24,,,,
400804,400804R13,2014,2,large,5,0.85,2.260824919,157,164,2840,133,172,-31,-39,-24,,,,
400889,400889,2014,2,large,9.5,11.5,7.260895848,142,156,1000,134,156,-22,-22,-8,,,,
407863,407863R102,2015,30,small,14,16.36,10.37669861,117,140,2080,129,140,-11,-11,12,,,,
407863,407863R13,2015,30,large,14,16.36,10.37669861,117,140,2080,129,140,-11,-11,12,,,,
407871,407871,2015,2,large,14,16.36,10.37669861,117,140,1000,129,140,-11,-11,12,,,,
407872,407872R13,2015,2,large,14,16.36,10.37669861,117,140,1020,129,140,-11,-11,12,,,,
407872,407872R202,2015,2,small,14,16.36,10.37669861,117,140,1020,129,140,-11,-11,12,,,,
407968,407968,2015,2,large,19.5,5.16,,111,140,1000,130,140,-10,-10,19,,,,
408031,408031R102,2015,30,small,23,12.58,8.270330667,82,140,1210,131,140,-9,-9,49,,,,
408031,408031R13,2015,30,large,23,12.58,8.270330667,82,140,1210,131,140,-9,-9,49,,,,
408040,408040R102,2015,2,small,23,12.58,8.270330667,82,140,1210,131,140,-9,-9,49,,,,
408040,408040R13,2015,2,large,23,12.58,8.270330667,82,140,1210,131,140,-9,-9,49,,,,
408041,408041,2015,2,large,23.5,12.58,,82,140,1000,131,140,-9,-9,49,,,,
408063,408063,2015,2,large,28.5,10.11,,109,132,1000,131,132,-1,-1,22,,,,
408231,408231R13,2015,2,large,18,5.03,8.973166943,97,140,2090,133,132,-7,1,36,,,,
408231,408231R202,2015,2,small,18,5.03,8.973166943,97,140,2090,133,132,-7,1,36,,,,
408276,408276,2015,2,large,15.5,4.65,7.893290848,119,140,1000,134,140,-6,-6,15,,,,
408386,408386R102,2015,30,small,8.5,2.36,2.407131275,143,156,2010,135,156,-21,-21,-8,,,,
408386,408386R13,2015,30,large,8.5,2.36,2.407131275,143,156,2010,135,156,-21,-21,-8,,,,
408395,408395,2015,2,large,8.5,2.86,2.407131275,143,156,1000,135,156,-21,-21,-8,,,,
408396,408396R102,2015,2,small,8.5,2.36,2.407131275,143,156,2520,135,156,-21,-21,-8,,,,
408396,408396R13,2015,2,large,8.5,2.36,2.407131275,143,156,2520,135,156,-21,-21,-8,,,,
408400,408400,2015,2,large,7.5,2.4,,143,156,1000,135,156,-21,-21,-8,,,,
408491,408491,2015,2,large,11.5,2.26,,125,132,1000,136,132,4,4,11,,,,
433238,433238R202,2016,30,small,8.5,3.2,2.523382008,127,180,3080,128,180,-52,-52,1,,,,
433238,433238R23,2016,30,large,8.5,3.2,2.523382008,127,180,3080,128,180,-52,-52,1,,,,
433246,433246R13,2016,2,large,8.5,3.2,2.523382008,127,180,2390,128,180,-52,-52,1,,,,
433246,433246R202,2016,2,small,8.5,3.2,2.523382008,127,180,2390,128,180,-52,-52,1,,,,
433310,433310R202,2016,30,small,13.5,4.58,3.10903731,126,172,2240,129,172,-43,-43,3,,,,
433310,433310R23,2016,30,large,13.5,4.58,3.10903731,126,172,2240,129,172,-43,-43,3,,,,
433318,433318R202,2016,2,small,13.5,4.58,3.10903731,126,172,2450,129,172,-43,-43,3,,,,
433318,433318R23,2016,2,large,13.5,4.58,3.10903731,126,172,2450,129,172,-43,-43,3,,,,
433434,433434R202,2016,30,small,20.5,2.98,3.754850388,141,172,2740,131,156,-41,-25,-10,,,,
433434,433434R23,2016,30,large,20.5,2.98,3.754850388,141,172,2740,131,156,-41,-25,-10,,,,
433442,433442R13,2016,2,large,20.5,2.98,3.754850388,141,172,1320,131,156,-41,-25,-10,,,,
433442,433442R202,2016,2,small,20.5,2.98,3.754850388,141,172,1320,131,156,-41,-25,-10,,,,
433561,433561R202,2016,30,small,28.5,2.24,2.396198193,124,132,2800,132,132,0,0,8,,,,
433561,433561R23,2016,30,large,28.5,2.24,2.396198193,124,132,2800,132,132,0,0,8,,,,
433569,433569R202,2016,2,small,28.5,2.24,2.396198193,124,132,2930,132,132,0,0,8,,,,
433569,433569R23,2016,2,large,28.5,2.24,2.396198193,124,132,2930,132,132,0,0,8,,,,
433635,433635R202,2016,30,small,23.5,1.78,2.005649358,141,180,2430,133,180,-47,-47,-8,,,,
433635,433635R23,2016,30,large,23.5,1.78,2.005649358,141,180,2430,133,180,-47,-47,-8,,,,
433643,433643R202,2016,2,small,23.5,1.78,2.005649358,141,180,2710,133,180,-47,-47,-8,,,,
433643,433643R23,2016,2,large,23.5,1.78,2.005649358,141,180,2710,133,180,-47,-47,-8,,,,
433938,433938R102,2016,30,small,6,1.38,1.41835779,131,172,4000,136,164,-36,-28,5,,,,
433938,433938R13,2016,30,large,6,1.38,1.41835779,131,172,4000,136,164,-36,-28,5,,,,
433946,433946R13,2016,2,large,6,1.38,1.41835779,131,172,2660,136,164,-36,-28,5,,,,
433946,433946R202,2016,2,small,6,1.38,1.41835779,131,172,2660,136,164,-36,-28,5,,,,
